Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2021,Spider-Man: No Way Home,5083.954,8940,good,Action
2021,Spider-Man: No Way Home,5083.954,8940,good,Adventure
2021,Spider-Man: No Way Home,5083.954,8940,good,Science Fiction
2022,The Batman,3827.658,1151,good,Crime
2022,The Batman,3827.658,1151,good,Mystery
2022,The Batman,3827.658,1151,good,Thriller
2022,No Exit,2618.087,122,below_avg,Thriller
2021,Encanto,2402.201,5076,good,Animation
2021,Encanto,2402.201,5076,good,Comedy
2021,Encanto,2402.201,5076,good,Family
2021,Encanto,2402.201,5076,good,Fantasy
2021,The King's Man,1895.511,1793,avg,Action
2021,The King's Man,1895.511,1793,avg,Adventure
2021,The King's Man,1895.511,1793,avg,Thriller
2021,The King's Man,1895.511,1793,avg,War
2022,The Commando,1750.484,33,avg,Action
2022,The Commando,1750.484,33,avg,Crime
2022,The Commando,1750.484,33,avg,Thriller
2022,Scream,1675.161,821,avg,Horror
2022,Scream,1675.161,821,avg,Mystery
2022,Scream,1675.161,821,avg,Thriller
2022,Kimi,1601.782,206,below_avg,Thriller
2022,Fistful of Vengeance,1594.013,114,not_good,Action
2022,Fistful of Vengeance,1594.013,114,not_good,Crime
2022,Fistful of Vengeance,1594.013,114,not_good,Fantasy
2021,Eternals,1537.406,4726,good,Science Fiction
2022,Pursuit,1500.523,16,not_good,Action
2022,Pursuit,1500.523,16,not_good,Crime
2022,Pursuit,1500.523,16,not_good,Thriller
2021,My Hero Academia: World Heroes' Mission,1485.064,100,good,Animation
2021,My Hero Academia: World Heroes' Mission,1485.064,100,good,Action
2021,My Hero Academia: World Heroes' Mission,1485.064,100,good,Fantasy
2021,My Hero Academia: World Heroes' Mission,1485.064,100,good,Adventure
2022,Restless,1468.377,107,not_good,Action
2022,Restless,1468.377,107,not_good,Thriller
2022,Restless,1468.377,107,not_good,Crime
2021,Nightmare Alley,1455.144,952,avg,Crime
2021,Nightmare Alley,1455.144,952,avg,Drama
2021,Nightmare Alley,1455.144,952,avg,Thriller
2022,The Ice Age Adventures of Buck Wild,1431.307,737,avg,Animation
2022,The Ice Age Adventures of Buck Wild,1431.307,737,avg,Comedy
2022,The Ice Age Adventures of Buck Wild,1431.307,737,avg,Adventure
2022,The Ice Age Adventures of Buck Wild,1431.307,737,avg,Family
